"Organism.Name","EVE_Count","GenomeSize","EVE_per_Mb"
"Aedes_aegypti",5749,1278715314,4.49591862790501
"Aedes_albopictus",5230,1344147842,3.89094103831474
"Aedes_japonicus",10446,1389713520,7.51665710210548
"Aedes_koreicus",10349,1100025007,9.40796794085973
"Aedes_notoscriptus",3682,900425932,4.0891758768227
"Armigeres_subalbatus",7283,1335741332,5.45240296569636
"Culex_laticinctus",1233,833812495,1.47874972777903
"Culex_modestus",1036,697666902,1.48494933188044
"Culex_perexiguus",743,436181468,1.70341945843513
"Culex_pipiens_pallens",676,566339288,1.19363076926424
"Culex_quinquefasciatus",733,573214445,1.27875353873889
"Culex_theileri",1087,832043836,1.30642155252984
"Malaya_genurostris",3019,831262279,3.63182605089675
"Ochlerotatus_camptorhynchus",8374,1079575157,7.75675500283858
"Ochlerotatus_sierrensis",4133,1183456917,3.49231133016395
"Sabethes_cyaneus",1542,676043992,2.28091665371978
"Topomyia_yanbarensis",5382,1168159140,4.60724897465597
"Uranotaenia_lowii",3611,1077644186,3.35082771002859
"Wyeomyia_smithii",2833,769230131,3.68290305570467
