Sequence,length,Acc,Organism
NC_035107.1:213492-215669|Metaviridae|Metavirus|Cladosporium_1,311,NC_035107.1,Aedes_aegypti
NC_035107.1:213492-215669|Metaviridae|Metavirus|Cladosporium_2,391,NC_035107.1,Aedes_aegypti
NC_035107.1:2423773-2425863|Metaviridae|Metavirus|Cladosporium_1,697,NC_035107.1,Aedes_aegypti
NC_035107.1:4531062-4533161|Metaviridae|Metavirus|Cladosporium_1,700,NC_035107.1,Aedes_aegypti
NC_035107.1:4896205-4896375|Metaviridae|Metavirus|Cladosporium_1,57,NC_035107.1,Aedes_aegypti
NC_035107.1:4896405-4897433|Metaviridae|Metavirus|Cladosporium_1,331,NC_035107.1,Aedes_aegypti
NC_035107.1:5433419-5433700|Metaviridae|Metavirus|Cladosporium_1,94,NC_035107.1,Aedes_aegypti
NC_035107.1:7084650-7084853|Metaviridae|Metavirus|Cladosporium_1,68,NC_035107.1,Aedes_aegypti
NC_035107.1:7896536-7896931|Metaviridae|Metavirus|Cladosporium_1,132,NC_035107.1,Aedes_aegypti
NC_035107.1:7897047-7898014|Metaviridae|Metavirus|Cladosporium_1,226,NC_035107.1,Aedes_aegypti
NC_035107.1:7897047-7898014|Metaviridae|Metavirus|Cladosporium_2,73,NC_035107.1,Aedes_aegypti
NC_035107.1:7966922-7968751|Metaviridae|Metavirus|Cladosporium_1,610,NC_035107.1,Aedes_aegypti
NC_035107.1:10216908-10217420|Metaviridae|Metavirus|Cladosporium_1,100,NC_035107.1,Aedes_aegypti
NC_035107.1:11983116-11985152|Metaviridae|Metavirus|Cladosporium_1,679,NC_035107.1,Aedes_aegypti
NC_035107.1:15619762-15619893|Metaviridae|Metavirus|Cladosporium_1,44,NC_035107.1,Aedes_aegypti
NC_035107.1:15792284-15794320|Metaviridae|Metavirus|Cladosporium_1,679,NC_035107.1,Aedes_aegypti
NC_035107.1:17646017-17647162|Metaviridae|Metavirus|Cladosporium_1,382,NC_035107.1,Aedes_aegypti
NC_035107.1:18832254-18832856|Metaviridae|Metavirus|Cladosporium_1,201,NC_035107.1,Aedes_aegypti
NC_035107.1:21615338-21617467|Metaviridae|Metavirus|Cladosporium_1,36,NC_035107.1,Aedes_aegypti
NC_035107.1:21615338-21617467|Metaviridae|Metavirus|Cladosporium_2,576,NC_035107.1,Aedes_aegypti
NC_035107.1:22964928-22965503|Metaviridae|Metavirus|Cladosporium_1,192,NC_035107.1,Aedes_aegypti
NC_035107.1:24361846-24364053|Metaviridae|Metavirus|Cladosporium_1,736,NC_035107.1,Aedes_aegypti
NC_035107.1:25205796-25207595|Metaviridae|Metavirus|Cladosporium_1,600,NC_035107.1,Aedes_aegypti
NC_035107.1:25346029-25348224|Metaviridae|Metavirus|Cladosporium_1,732,NC_035107.1,Aedes_aegypti
NC_035107.1:26160092-26162191|Metaviridae|Metavirus|Cladosporium_1,700,NC_035107.1,Aedes_aegypti
NC_035107.1:26656653-26657216|Metaviridae|Metavirus|Cladosporium_1,151,NC_035107.1,Aedes_aegypti
NC_035107.1:26656653-26657216|Metaviridae|Metavirus|Cladosporium_2,31,NC_035107.1,Aedes_aegypti
NC_035107.1:27828198-27828401|Metaviridae|Metavirus|Cladosporium_1,59,NC_035107.1,Aedes_aegypti
NC_035107.1:29320105-29322327|Metaviridae|Metavirus|Cladosporium_1,741,NC_035107.1,Aedes_aegypti
NC_035107.1:32664746-32667100|Metaviridae|Metavirus|Cladosporium_1,470,NC_035107.1,Aedes_aegypti
NC_035107.1:32664746-32667100|Metaviridae|Metavirus|Cladosporium_2,307,NC_035107.1,Aedes_aegypti
NC_035107.1:33830914-33833070|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:33893109-33894014|Metaviridae|Metavirus|Cladosporium_1,296,NC_035107.1,Aedes_aegypti
NC_035107.1:34995199-34997436|Metaviridae|Metavirus|Cladosporium_1,746,NC_035107.1,Aedes_aegypti
NC_035107.1:37576348-37578702|Metaviridae|Metavirus|Cladosporium_1,785,NC_035107.1,Aedes_aegypti
NC_035107.1:38042406-38042636|Metaviridae|Metavirus|Cladosporium_1,77,NC_035107.1,Aedes_aegypti
NC_035107.1:38043508-38044113|Metaviridae|Metavirus|Cladosporium_1,202,NC_035107.1,Aedes_aegypti
NC_035107.1:39965610-39967766|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:41578289-41578705|Metaviridae|Metavirus|Cladosporium_1,112,NC_035107.1,Aedes_aegypti
NC_035107.1:41630723-41630860|Metaviridae|Metavirus|Cladosporium_1,46,NC_035107.1,Aedes_aegypti
NC_035107.1:42175609-42177633|Metaviridae|Metavirus|Cladosporium_1,518,NC_035107.1,Aedes_aegypti
NC_035107.1:42175609-42177633|Metaviridae|Metavirus|Cladosporium_2,92,NC_035107.1,Aedes_aegypti
NC_035107.1:43958622-43959467|Metaviridae|Metavirus|Cladosporium_1,282,NC_035107.1,Aedes_aegypti
NC_035107.1:44779237-44781381|Metaviridae|Metavirus|Cladosporium_1,715,NC_035107.1,Aedes_aegypti
NC_035107.1:48748145-48750292|Metaviridae|Metavirus|Cladosporium_1,716,NC_035107.1,Aedes_aegypti
NC_035107.1:54289657-54291855|Metaviridae|Metavirus|Cladosporium_1,733,NC_035107.1,Aedes_aegypti
NC_035107.1:54582371-54583042|Metaviridae|Metavirus|Cladosporium_1,185,NC_035107.1,Aedes_aegypti
NC_035107.1:56395710-56396396|Metaviridae|Metavirus|Cladosporium_1,229,NC_035107.1,Aedes_aegypti
NC_035107.1:59415644-59416519|Metaviridae|Metavirus|Cladosporium_1,40,NC_035107.1,Aedes_aegypti
NC_035107.1:59415644-59416519|Metaviridae|Metavirus|Cladosporium_2,152,NC_035107.1,Aedes_aegypti
NC_035107.1:60872155-60874302|Metaviridae|Metavirus|Cladosporium_1,716,NC_035107.1,Aedes_aegypti
NC_035107.1:62719742-62721898|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:64362011-64362455|Metaviridae|Metavirus|Cladosporium_1,148,NC_035107.1,Aedes_aegypti
NC_035107.1:68836348-68838492|Metaviridae|Metavirus|Cladosporium_1,715,NC_035107.1,Aedes_aegypti
NC_035107.1:69054487-69054900|Metaviridae|Metavirus|Cladosporium_1,125,NC_035107.1,Aedes_aegypti
NC_035107.1:71845448-71845975|Metaviridae|Metavirus|Cladosporium_1,169,NC_035107.1,Aedes_aegypti
NC_035107.1:71972021-71974075|Metaviridae|Metavirus|Cladosporium_1,685,NC_035107.1,Aedes_aegypti
NC_035107.1:72599625-72601784|Metaviridae|Metavirus|Cladosporium_1,720,NC_035107.1,Aedes_aegypti
NC_035107.1:72909160-72911109|Metaviridae|Metavirus|Cladosporium_1,650,NC_035107.1,Aedes_aegypti
NC_035107.1:73311402-73313711|Metaviridae|Metavirus|Cladosporium_1,770,NC_035107.1,Aedes_aegypti
NC_035107.1:78651121-78652623|Metaviridae|Metavirus|Cladosporium_1,395,NC_035107.1,Aedes_aegypti
NC_035107.1:79018570-79018692|Metaviridae|Metavirus|Cladosporium_1,40,NC_035107.1,Aedes_aegypti
NC_035107.1:79018697-79019305|Metaviridae|Metavirus|Cladosporium_1,203,NC_035107.1,Aedes_aegypti
NC_035107.1:80564150-80566105|Metaviridae|Metavirus|Cladosporium_1,652,NC_035107.1,Aedes_aegypti
NC_035107.1:82698465-82700621|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:82708228-82710384|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:82733435-82735468|Metaviridae|Metavirus|Cladosporium_1,678,NC_035107.1,Aedes_aegypti
