Sequence	length	Acc	Organism
NC_035107.1:197609846-197613037_1	1064	NC_035107.1	Aedes_aegypti
NC_035107.1:219726191-219729382_1	1064	NC_035107.1	Aedes_aegypti
NC_035107.1:279544353-279547544_1	1064	NC_035107.1	Aedes_aegypti
NC_035107.1:70898046-70901237_1	1064	NC_035107.1	Aedes_aegypti
NC_035108.1:155525197-155528388_1	1064	NC_035108.1	Aedes_aegypti
NC_035108.1:23491554-23494745_1	1064	NC_035108.1	Aedes_aegypti
NC_035108.1:311489037-311492228_1	1064	NC_035108.1	Aedes_aegypti
NC_035108.1:411211782-411214973_1	1064	NC_035108.1	Aedes_aegypti
NC_035109.1:206112384-206115575_1	1064	NC_035109.1	Aedes_aegypti
NC_035109.1:216588232-216591423_1	1064	NC_035109.1	Aedes_aegypti
NC_035108.1:178661180-178664300_1	607	NC_035108.1	Aedes_aegypti
NC_035108.1:178661180-178664300_2	441	NC_035108.1	Aedes_aegypti
NC_035107.1:12090841-12093960_1	1040	NC_035107.1	Aedes_aegypti
NC_035107.1:126415661-126418780_1	1040	NC_035107.1	Aedes_aegypti
NC_035107.1:150037398-150040517_1	1040	NC_035107.1	Aedes_aegypti
NC_035107.1:157871867-157874986_1	1040	NC_035107.1	Aedes_aegypti
NC_035107.1:173685890-173689009_1	1040	NC_035107.1	Aedes_aegypti
NC_035107.1:250185105-250188224_1	1040	NC_035107.1	Aedes_aegypti
NC_035108.1:132874091-132877210_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:197367004-197370123_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:236908404-236911523_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:279863212-279866331_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:27999577-28002696_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:302152289-302155408_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:315871306-315874425_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:356048469-356051588_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:372640333-372643452_1	813	NC_035108.1	Aedes_aegypti
NC_035108.1:372640333-372643452_2	216	NC_035108.1	Aedes_aegypti
NC_035108.1:374816468-374819587_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:426816344-426819463_1	1040	NC_035108.1	Aedes_aegypti
NC_035108.1:429307425-429310544_1	1040	NC_035108.1	Aedes_aegypti
NC_035109.1:105890561-105893680_1	1040	NC_035109.1	Aedes_aegypti
NC_035109.1:15428012-15431131_1	1040	NC_035109.1	Aedes_aegypti
